Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CZE,28.74024548,28.698228,26.80384304,25.36209393,25.91548467,26.78176141,26.3663607,27.82950063,27.10744693,23.28320597,22.65664329,22.46063745,24.02350515,24.11068079,25.31045338,27.09377506,26.3493691,27.27576794,26.94749775,26.95330567,27.42451696,28.60723331,28.11301173,28.92630389
DEU,22.66891792,22.54064769,22.63958965,21.79639543,24.32094727,24.13096015,26.33842188,28.2674381,27.14870002,24.39683877,25.77636851,27.82258688,26.80026361,26.58238547,27.57490436,28.31064498,28.60399495,28.83901792,29.87843174,30.08728192,29.0704182,30.87046532,29.18450635,30.17088367
DJI,,,,,,,,,,,,,,27.88450302,27.38400798,29.76112767,25.38536639,21.09444369,21.67051604,20.53461521,12.46565637,9.041218666,18.54440031,
DMA,,,,,,,8.807277249,0.308552298,-5.32136495,-1.368221297,4.358786491,4.591005141,0.042947407,5.955474144,8.363672895,5.322758185,5.505481688,7.311483152,-11.15549772,,,,,
DNK,24.94958185,25.92989417,25.25839456,25.20028693,25.80866871,26.40806444,27.64618503,26.74065401,26.88832744,22.56653567,24.62749403,25.71520566,25.741771,27.45207095,29.00361173,28.86672641,29.46066271,30.06794544,29.8826745,30.35278254,30.63917233,33.10798437,37.20750708,33.91558006
DOM,23.12988199,23.69707442,23.79840514,23.63248294,24.76589779,21.99891007,23.0203508,22.69907311,20.11219828,18.16965353,18.52283538,17.1313848,17.5613331,18.25124302,19.58661036,21.34689757,21.58884764,22.00714809,24.04657333,24.31287719,22.84941866,27.85650444,27.67987288,27.48748469
DZA,,,,,,50.72330145,53.69066129,55.8066955,56.61939223,47.95155054,51.22469178,49.9884991,48.72145816,46.60919213,44.68161381,39.04742457,39.76616466,39.50714315,40.47078677,38.47101262,33.33708651,38.67407668,44.47338461,41.2259377
EAP,34.74419714,35.92986407,37.04342029,39.87939592,42.65070509,43.24782206,45.40442626,47.06821491,48.43502864,47.14593054,48.3327954,46.67464799,45.87845337,44.65325667,44.836768,42.83609581,42.00651356,42.60855091,42.2416402,41.51938798,41.24288551,42.69678784,43.51102464,
EAR,24.18942738,23.19769324,24.14516737,24.75938624,26.2128399,28.213187,30.08768167,30.03542089,30.20759653,27.38187794,28.63574517,28.80305625,28.17176434,27.00184566,26.17261975,25.06655125,24.98853589,25.85230632,26.58302555,25.78555142,24.55356627,26.35021345,27.25139029,26.16609765
EAS,32.85124524,32.97845329,33.41267542,35.25787071,37.21942663,37.47088794,38.91540028,40.11089517,40.4203559,39.01195075,40.0774478,38.91367218,38.30523509,37.65488532,37.92026124,37.3075005,36.85096195,37.45376307,37.01865674,36.56475458,36.47788343,37.93864233,37.90531906,
ECA,20.98835161,21.76276218,23.11533694,21.91983643,23.61071237,25.2764789,26.52668526,25.4257415,26.10783662,22.96783477,23.21555153,24.39847087,24.10959459,23.81047486,24.569431,24.91538258,23.85445426,25.2710747,26.9044399,25.45587848,25.45107227,27.89111255,28.8525412,24.76570809
ECS,23.76750794,23.37508093,22.82649639,22.51440728,23.26198369,23.67076228,24.42401127,24.64614061,23.53181557,20.93678356,22.15589214,22.95820924,22.44534933,22.23491867,22.74433681,23.35536496,23.26193754,24.04278633,24.66448395,24.73382387,23.85595849,26.39002891,25.90652485,25.19629926
ECU,26.62575838,18.81905494,17.81239431,18.04265231,18.97064697,22.90560347,26.51469569,27.35170254,30.48745791,24.8835098,24.81680206,27.59569785,27.05603588,27.26695405,26.55440512,20.62572277,21.32065371,22.12803045,21.2259174,20.79208382,19.85883242,23.86776403,24.16773863,23.49697163
EGY,17.58387342,18.61067103,18.4079876,18.64809581,21.11221925,21.84229211,22.97673628,23.5552982,23.62350084,16.83984206,17.95038894,16.86871826,12.87821102,13.68322162,11.8849608,9.593464708,9.710041522,12.47652769,16.08277811,17.17242473,13.45339183,10.85402574,12.75407714,11.17857342
EMU,22.85484745,22.77066972,22.62000171,22.17508387,23.10583647,23.03953663,23.949232,24.66727938,23.3760037,21.19130775,21.79434216,22.54854156,22.20936445,22.43977371,23.02807063,23.68794385,24.17162895,24.7186622,25.23191131,25.53481732,24.36143526,26.52515932,25.01611795,25.39605593
ERI,15.82071947,,,,,,,,,,,,,,,,,,,,,,,
ESP,22.32915226,22.08165877,22.96416866,23.62908281,22.80787767,22.12306677,21.71575326,21.01384562,19.56053587,19.22421511,18.64331657,17.85548934,18.51697832,19.25360755,19.57792092,21.00819065,21.91999801,22.17603284,22.34637944,22.9344685,21.08940684,22.34620682,22.09427411,22.85969546
EST,23.77095641,23.05750542,21.98479533,21.95506879,22.2689527,24.2738199,24.60894863,24.35478296,23.44182439,23.755581,23.36088435,26.88438579,27.45171547,27.52670728,27.83958935,26.85657626,26.43203512,28.74268644,28.9004783,28.91887924,28.01251293,28.52912682,26.24404484,23.28583524
ETH,,,,,,,,,,,,32.55827582,30.91225561,28.33476359,31.45033178,29.52215954,30.95320402,30.59001255,33.16307924,29.03045038,27.12910708,25.07856534,21.55413741,19.17640605
EUU,22.82664215,22.78335626,22.53620255,22.14933541,22.89845061,22.95795927,23.93742129,24.64145547,23.55474777,21.33262294,21.94243579,22.68979159,22.33200543,22.63962261,23.23514315,23.88647929,24.25499716,24.77692352,25.22344242,25.60706183,24.63952914,26.63097686,25.4078105,25.65876285
FCS,,,,,,,,,,,,,,,,,,,,,,,,
FIN,31.26584618,31.96296665,30.90104915,28.0161264,29.5949197,28.60328189,28.76011708,30.01359524,28.26955687,23.86023566,23.8854134,22.89905803,21.48013136,20.36826574,20.69072314,20.89132927,21.28328741,23.20276998,23.42241789,23.78093349,25.05394904,24.51532658,24.0282752,21.38764152
