fecha,hora,emisiones_co
43497,17,0.8
43497,18,0.93
43497,19,0.93
43497,20,0.81
43497,21,0.93
43497,22,0.73
43497,23,0.71
43498,0,0.66
43498,1,0.68
43498,2,0.55
43498,3,0.57
43498,4,0.56
43498,5,0.65
43498,6,0.75
43498,7,0.86
43498,8,0.91
43498,9,1
43498,10,0.92
43498,11,0.68
43498,12,0.55
43498,13,0.62
43498,14,0.53
43498,15,0.57
43498,16,0.62
43498,17,0.67
43498,18,0.78
43498,19,0.78
43498,20,0.8
43498,21,0.8
43498,22,0.79
43498,23,0.82
43499,0,0.74
43499,2,0.43
43499,3,0.47
43499,4,0.59
43499,5,0.62
43499,6,0.76
43499,7,0.71
43499,8,0.7
43499,9,0.61
43499,10,0.46
43499,11,0.46
43499,12,0.48
43499,13,0.47
43499,14,0.48
43499,15,0.49
43499,16,0.5
43499,17,0.6
43499,18,0.73
43499,19,0.85
43499,20,0.82
43499,21,0.8
43499,22,0.78
43499,23,0.69
43500,0,0.69
43500,1,0.62
43500,2,0.61
43500,3,0.6
43500,4,0.6
43500,5,0.68
43500,6,1.09
43500,7,1.58
43500,8,1.38
43500,9,1.34
43500,10,1.13
43500,11,0.79
43500,12,0.7
43500,13,0.64
43500,14,0.59
43500,15,0.56
43500,16,0.62
43500,17,0.6
43500,18,1.01
43500,19,0.93
43500,20,1.5
43500,21,1.42
43500,22,1.28
43500,23,0.99
43501,0,0.77
43501,2,0.64
43501,3,0.55
43501,4,0.55
43501,5,0.62
43501,6,0.96
43501,7,1.26
43501,8,1.23
43501,9,1.21
43501,10,0.79
43501,11,0.63
43501,12,0.56
43501,14,0.24
43501,15,0.32
43501,16,0.44
43501,17,0.51
43501,18,0.69
43501,19,0.84
43501,20,0.82
43501,21,0.78
43501,22,0.65
43501,23,0.5
43502,0,0.51
43502,1,0.52
43502,2,0.52
43502,3,0.55
43502,4,0.51
43502,5,0.78
43502,6,1.64
43502,7,2.87
43502,8,2.06
43502,9,0.77
43502,10,0.62
43502,11,0.48
43502,12,0.48
43502,13,0.5
43502,14,0.51
43502,15,0.66
43502,16,0.68
43502,17,0.68
43502,18,0.65
43502,19,0.95
43502,20,1.01
43502,21,0.8
43502,22,0.74
43502,23,0.52
43503,0,0.39
43503,2,0.24
43503,3,0.23
43503,4,0.33
43503,5,0.54
43503,6,1.03
43503,7,1.84
43503,8,1.31
43503,9,0.98
43503,10,0.62
43503,11,0.48
43503,12,0.43
43503,13,0.5
43503,14,0.72
43503,15,0.7
43503,16,0.87
43503,17,1.12
43503,18,1.07
43503,19,1.08
43503,20,1.07
43503,21,0.99
43503,22,1.13
43503,23,0.88
43504,0,0.82
43504,1,0.78
43504,2,0.84
43504,3,0.75
43504,4,0.52
43504,5,0.66
43504,6,1.48
43504,7,1.7
43504,8,1.09
43504,9,0.9
43504,10,0.8
43504,11,0.69
43504,12,0.55
43504,13,0.6
43504,14,0.62
43504,15,0.65
43504,16,0.68
43504,17,0.91
43504,18,1.05
43504,19,1.21
43504,20,1.05
43504,21,1.15
43504,22,1.16
43504,23,0.89
43505,0,0.81
43505,2,0.48
43505,3,0.7
43505,4,0.72
43505,5,0.74
43505,6,0.76
43505,7,0.67
43505,8,0.69
43505,9,0.73
43505,10,0.68
43505,11,0.63
43505,12,0.7
43505,13,0.65
43505,14,0.64
43505,15,0.64
43505,16,0.72
43505,17,0.7
43505,18,0.88
43505,19,0.98
43505,20,0.85
43505,21,0.9
43505,22,0.8
43505,23,0.79
43506,0,0.82
43506,1,0.79
43506,2,0.73
43506,3,0.77
43506,4,0.69
43506,5,0.66
43506,6,0.83
43506,7,0.99
43506,8,0.77
43506,9,0.7
43506,10,0.61
43506,11,0.59
43506,12,0.55
43506,13,0.5
43506,14,0.52
43506,15,0.63
43506,16,0.73
43506,17,0.85
43506,18,0.76
43506,19,0.73
43506,20,0.81
43506,21,0.69
43506,22,0.64
43506,23,0.68
43507,0,0.52
43507,2,0.43
43507,3,0.41
43507,4,0.46
43507,5,0.59
43507,6,1.05
43507,7,1.39
43507,8,0.94
43507,9,0.88
43507,10,0.87
43507,11,0.75
43507,12,0.62
43507,13,0.54
43507,14,0.49
43507,15,0.65
43507,16,0.64
43507,17,0.59
43507,18,0.67
43507,19,1.3
43507,20,1.28
43507,21,1.12
43507,22,1.02
43507,23,0.95
43508,0,0.66
43508,1,0.77
43508,2,0.66
43508,3,0.6
43508,4,0.57
43508,5,0.63
43508,6,1.09
43508,7,1.31
43508,8,1.33
43508,9,0.91
43508,10,0.67
43508,11,0.56
43508,12,0.5
43508,13,0.57
43508,14,0.56
43508,15,0.61
43508,16,0.62
43508,17,0.69
43508,18,0.88
43508,19,1.05
43508,20,1.07
43508,21,1.08
43508,22,1.33
43508,23,1.14
43509,0,0.86
43509,2,0.59
43509,3,0.49
43509,4,0.44
43509,5,0.62
43509,6,0.86
43509,7,1.47
43509,8,1.23
43509,9,1.15
43509,10,0.7
43509,11,0.55
43509,12,0.48
43509,13,0.45
43509,14,0.43
43509,15,0.45
43509,16,0.44
43509,17,0.61
43509,18,0.58
43509,19,0.7
43509,20,0.66
43509,21,0.67
43509,22,0.83
43509,23,0.84
43510,0,0.9
43510,1,0.67
43510,2,0.83
43510,3,0.85
43510,4,0.89
43510,5,1.01
43510,6,1.59
43510,7,3.01
43510,8,1.93
43510,9,1.13
43510,10,0.74
43510,11,0.62
43510,12,0.54
43510,13,0.52
43510,14,0.68
43510,15,0.61
43510,16,0.7
43510,17,0.76
43510,18,1.09
43510,19,1.17
43510,20,1.19
43510,21,0.91
43510,22,1
43510,23,0.75
43511,0,0.85
43511,2,0.41
43511,3,0.61
43511,4,0.65
43511,5,1.19
43511,6,1.77
43511,7,2.98
43511,8,1.57
43511,9,0.78
43511,10,0.64
43511,13,0.35
43511,14,0.38
43511,15,0.48
43511,16,0.45
43511,17,0.54
43511,18,0.8
43511,19,0.88
43511,20,0.98
43511,21,0.94
43511,22,1.28
43511,23,1.1
43512,0,0.96
43512,1,0.72
43512,2,0.66
43512,3,0.71
43512,4,0.69
43512,5,0.83
43512,6,1.41
43512,7,1.2
43512,8,0.81
43512,9,0.66
43512,10,0.73
43512,11,0.58
43512,12,0.49
43512,13,0.41
43512,14,0.4
43512,15,0.46
43512,16,0.46
43512,17,0.56
43512,18,0.7
43512,19,0.72
43512,20,0.81
43512,21,0.78
43512,22,0.99
43512,23,1.01
43513,0,1.13
43513,2,0.57
43513,3,0.6
43513,4,0.6
43513,5,0.84
43513,6,1.08
43513,7,1.54
43513,8,0.73
43513,9,0.61
43513,10,0.54
43513,11,0.48
43513,12,0.45
43513,13,0.42
43513,14,0.48
43513,15,0.51
43513,16,0.48
43513,17,0.61
43513,18,0.7
43513,19,0.68
43513,20,0.68
43513,21,0.73
43513,22,0.67
43513,23,0.67
43514,0,0.67
43514,1,0.59
43514,2,0.59
43514,3,0.56
43514,4,0.58
43514,5,0.75
43514,6,1.07
43514,7,1.18
43514,8,1
43514,9,0.81
43514,10,0.82
43514,11,0.89
43514,12,0.7
43514,13,0.61
43514,14,0.66
43514,15,0.66
43514,16,0.75
43514,17,0.92
43514,18,1.13
43514,19,1.25
43514,20,0.87
43514,21,0.94
43514,22,1.14
43514,23,0.96
43515,0,0.73
43515,2,0.6
43515,3,0.62
43515,4,0.6
43515,5,0.62
43515,6,0.78
43515,7,1.02
43515,8,0.93
43515,9,1.17
43515,10,0.95
43515,11,0.89
43515,12,0.79
43515,13,0.82
43515,16,0.59
43515,18,0.84
43515,19,0.87
43515,20,0.92
43515,21,0.68
43515,22,0.52
43515,23,0.47
43516,0,0.6
43516,1,0.38
43516,2,0.39
43516,3,0.34
43516,4,0.39
43516,5,0.54
43516,6,1.17
43516,7,1.83
43516,8,1.48
43516,9,1.5
43516,10,1.15
43516,11,0.75
43516,12,0.59
43516,13,0.51
43516,14,0.6
43516,15,0.65
43516,16,0.64
43516,17,0.76
43516,18,0.8
43516,19,0.96
43516,20,0.79
43516,21,0.76
43516,22,0.62
43516,23,0.57
43517,0,0.6
43517,2,0.46
43517,3,0.56
43517,4,0.64
43517,5,0.53
43517,6,0.98
43517,7,1.29
43517,8,1.37
43517,9,1.18
43517,10,1.24
43517,11,1.1
43517,12,0.63
43517,13,0.45
43517,14,0.39
43517,15,0.37
43517,16,0.5
43517,17,0.49
43517,18,0.4
43517,19,0.56
43517,20,0.85
43517,21,0.73
43517,22,0.79
43517,23,0.83
43518,0,0.74
43518,1,0.45
43518,2,0.49
43518,3,0.46
43518,4,0.79
43518,5,0.79
43518,6,1.22
43518,7,1.24
43518,8,1.04
43518,9,0.62
43518,10,0.53
43518,11,0.43
43518,12,0.41
43518,13,0.35
43518,14,0.39
43518,15,0.51
43518,16,0.57
43518,17,0.67
43518,18,0.8
43518,19,1.1
43518,20,1.02
43518,21,1.13
43518,22,1.23
43518,23,1.13
43519,0,1.25
43519,2,0.67
43519,3,0.58
43519,4,0.64
43519,5,0.91
43519,6,1.02
43519,7,1.11
43519,8,1.21
43519,9,1.04
43519,10,0.72
43519,11,0.57
43519,12,0.71
43519,13,0.66
43519,14,0.58
43519,15,0.54
43519,16,0.74
43519,17,0.87
43519,18,0.8
43519,19,0.84
43519,20,0.89
43519,21,0.76
43519,22,0.69
43519,23,0.62
43520,0,0.65
43520,1,0.61
43520,2,0.59
43520,3,0.52
43520,4,0.5
43520,5,0.52
43520,6,0.6
43520,7,0.78
43520,8,0.69
43520,9,0.82
43520,10,0.74
43520,11,0.67
43520,12,0.63
43520,13,0.59
43520,14,0.66
43520,15,0.63
43520,16,0.71
43520,17,0.79
43520,18,0.8
43520,19,0.63
43520,20,0.6
43520,21,0.59
43520,22,0.51
43520,23,0.58
43521,0,0.71
43521,2,0.4
43521,3,0.4
43521,4,0.43
43521,5,0.53
43521,6,1.11
43521,7,1.55
43521,8,1.79
43521,9,0.95
43521,10,0.77
43521,11,0.81
43521,12,0.82
43521,13,0.77
43521,14,0.89
43521,15,0.74
43521,16,0.71
43521,17,0.65
43521,18,0.82
43521,19,0.97
43521,20,0.93
43521,21,0.64
43521,22,0.76
43521,23,0.71
43522,0,0.65
43522,1,0.7
43522,2,0.59
43522,3,0.59
43522,4,0.59
43522,5,0.94
43522,6,1.59
43522,7,1.71
43522,8,1.54
43522,9,1.24
43522,10,1.28
43522,11,1.12
43522,12,0.66
43522,13,0.81
43522,14,0.67
43522,15,0.58
43522,16,0.68
43522,17,0.74
43522,18,0.65
43522,19,0.83
43522,20,0.83
43522,21,0.72
43522,22,0.73
43522,23,0.81
43523,0,0.57
43523,2,0.5
43523,3,0.46
43523,4,0.52
43523,5,0.78
43523,6,1.27
43523,7,1.35
43523,8,1.3
43523,9,1.11
43523,10,1.01
43523,11,0.77
43523,12,0.74
43523,13,0.76
43523,14,0.64
43523,15,0.55
43523,16,0.63
43523,17,0.77
43523,18,0.82
43523,19,0.97
43523,20,1.02
43523,21,1.09
43523,22,0.86
43523,23,0.78
43524,0,0.71
43524,1,0.64
43524,2,0.58
43524,3,0.52
43524,4,0.56
43524,5,0.61
43524,6,0.78
43524,7,1.44
43524,8,1.39
43524,9,0.97
43524,10,0.89
43524,11,1
43524,12,0.89
43524,13,0.76
43524,14,0.74
43524,15,0.66
43524,16,0.77
43524,17,0.91
43524,18,0.99
43524,19,1.06
43524,20,1.11
43524,21,1.08
43524,22,1.17
43524,23,0.89
43525,0,0.92
43525,2,0.48
43525,3,0.49
43525,4,0.54
43525,5,0.71
43525,6,1.04
43525,7,1.71
43525,8,1.47
43525,9,1.01
43525,10,0.88
43525,12,0.41
43525,13,0.42
43525,14,0.52
43525,15,0.45
43525,16,0.41
43525,17,0.66
43525,18,0.76
43525,19,0.81
43525,20,0.54
43525,21,0.53
43525,22,0.81
43525,23,0.45
43526,0,0.44
43526,1,0.47
43526,2,0.37
43526,3,0.37
43526,4,0.49
43526,5,0.55
43526,6,0.66
43526,7,1.07
43526,8,1.16
43526,9,1.03
43526,10,0.77
43526,11,0.52
43526,12,0.54
43526,13,0.55
43526,14,0.58
43526,15,0.68
43526,16,0.6
43526,17,0.62
43526,18,0.66
43526,19,0.68
43526,20,0.67
43526,21,0.71
43526,22,0.5
43526,23,0.45
43527,0,0.41
43527,2,0.49
43527,3,0.49
43527,4,0.52
43527,5,0.71
43527,6,0.91
43527,7,1.1
43527,8,0.8
43527,9,0.63
43527,10,0.53
43527,11,0.53
43527,12,0.45
43527,13,0.4
43527,14,0.35
43527,15,0.37
43527,16,0.54
43527,17,0.67
43527,18,0.69
43527,19,0.67
43527,20,0.7
43527,21,0.79
43527,22,0.78
43527,23,0.55
43528,0,0.43
43528,1,0.34
43528,2,0.34
43528,3,0.37
43528,4,0.43
43528,5,0.48
43528,6,0.62
43528,7,0.97
43528,8,0.98
43528,9,0.52
43528,10,0.45
43528,11,0.47
43528,12,0.35
43528,13,0.32
43528,14,0.38
43528,15,0.51
43528,16,0.47
43528,17,0.49
43528,18,0.55
43528,19,0.6
43528,20,0.48
43528,21,0.65
43528,22,0.68
43528,23,0.57
43529,0,0.46
43529,2,0.32
43529,3,0.34
43529,4,0.44
43529,5,0.52
43529,6,0.59
43529,7,0.84
43529,8,0.78
43529,9,0.69
43529,10,0.57
43529,11,0.6
43529,12,0.45
43529,13,0.36
43529,14,0.28
43529,15,0.33
43529,16,0.3
43529,17,0.45
43529,18,0.65
43529,19,0.65
43529,20,0.68
43529,21,0.64
43529,22,0.54
43529,23,0.65
43530,0,0.53
43530,1,0.49
43530,2,0.51
43530,3,0.51
43530,4,0.43
43530,5,0.65
43530,6,1.51
43530,7,1.95
43530,8,1.21
43530,9,0.57
43530,10,0.48
43530,11,0.45
43530,12,0.42
43530,13,0.36
43530,14,0.32
43530,15,0.34
43530,16,0.55
43530,17,0.66
43530,18,0.69
43530,19,0.93
43530,20,0.91
43530,21,0.88
43530,22,1.21
43530,23,0.66
43531,0,0.61
43531,2,0.44
43531,3,0.49
43531,4,0.6
43531,5,0.89
43531,6,1.91
43531,7,2.03
43531,8,1.83
43531,9,1.34
43531,10,0.75
43531,11,0.48
43531,12,0.41
43531,13,0.42
43531,14,0.44
43531,15,0.49
43531,16,0.62
